Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789886293,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789886294,10,,Aggregated,0.000000,0.000000,33,50,77,110,140,200,210,210,210,210,210,33,0,33,60.56636060599306,5.566300000282354,207.98930000000837,306.8181818181818
1789886295,20,,Aggregated,0.000000,0.000000,70,110,130,140,220,270,600,600,600,600,600,81,0,70,106.08302222217502,5.566300000282354,601.3627000002089,302.14814814814815
1789886296,40,,Aggregated,10.000000,0.000000,130,200,240,280,350,540,730,780,780,780,780,138,0,130,170.908855072425,5.566300000282354,783.943299999919,306.67391304347825
1789886297,50,,Aggregated,22.500000,0.000000,200,280,330,350,410,580,780,810,830,830,830,198,0,200,219.98757424240705,5.566300000282354,834.0433999992456,306.8181818181818
1789886298,50,,Aggregated,31.333333,0.000000,240,320,360,380,480,550,780,810,830,830,830,263,0,240,254.80151444868036,5.566300000282354,834.0433999992456,312.79847908745245
1789886299,50,,Aggregated,37.750000,0.000000,300,380,450,500,560,630,780,830,1300,1300,1300,329,0,300,310.0382358662642,5.566300000282354,1295.4461999997875,311.5987841945289
1789886300,50,,Aggregated,44.600000,0.000000,330,430,510,530,600,650,830,1100,1300,1300,1300,391,0,330,349.71079156010273,5.566300000282354,1321.9481000005544,314.0485933503836
1789886301,50,,Aggregated,47.333333,0.000000,350,410,490,520,590,640,810,1100,1300,1300,1300,470,0,350,348.9719031914862,5.566300000282354,1321.9481000005544,315.9255319148936
1789886302,50,,Aggregated,49.000000,0.000000,350,400,440,500,580,630,790,1100,1300,1300,1300,546,0,350,348.27368003663537,5.566300000282354,1321.9481000005544,316.7362637362637
1789886303,50,,Aggregated,51.250000,0.000000,360,410,460,490,560,630,780,1100,1300,1300,1300,620,0,360,353.7920101612921,5.566300000282354,1321.9481000005544,316.4516129032258
1789886304,50,,Aggregated,54.222222,0.000000,360,400,440,480,550,620,780,1100,1300,1300,1300,697,0,360,353.5511298421827,5.566300000282354,1321.9481000005544,316.0157819225251
1789886305,50,,Aggregated,55.500000,0.000000,360,400,430,480,550,610,730,830,1300,1300,1300,769,0,360,353.9955641092312,5.566300000282354,1321.9481000005544,314.5591677503251
1789886306,50,,Aggregated,62.500000,0.000000,360,400,440,480,540,600,700,830,1300,1300,1300,848,0,360,355.94835389150666,5.566300000282354,1321.9481000005544,313.7441037735849
1789886307,50,,Aggregated,66.700000,0.000000,340,390,420,460,530,590,660,810,1300,1300,1300,986,0,340,320.6607664300101,3.1715999994048616,1321.9481000005544,314.0872210953347
1789886308,50,,Aggregated,68.900000,0.000000,310,380,410,430,520,580,650,780,1300,1300,1300,1130,0,310,285.2649203539744,3.1715999994048616,1321.9481000005544,313.9008849557522
1789886309,50,,Aggregated,71.600000,0.000000,280,360,390,420,500,560,640,780,1300,1300,1300,1263,0,280,260.97523887568565,3.1715999994048616,1321.9481000005544,313.6437054631829
1789886310,50,,Aggregated,79.900000,0.000000,230,350,390,410,490,560,630,750,1300,1300,1300,1405,0,230,241.16414106760797,3.1715999994048616,1321.9481000005544,313.13807829181496
1789886311,50,,Aggregated,88.200000,0.000000,200,330,380,400,480,550,630,730,1300,1300,1300,1531,0,200,231.73581841933066,3.1715999994048616,1321.9481000005544,312.3448726322665
1789886312,50,,Aggregated,95.800000,0.000000,170,310,370,390,480,540,620,700,1300,1300,1300,1670,0,170,216.0683263473032,3.112200000032317,1321.9481000005544,312.111377245509
