Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789888457,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789888458,20,,Aggregated,0.000000,0.000000,21,29,45,90,130,140,180,180,180,180,180,69,0,21,42.95901014486752,3.8797999986854848,181.5119999992021,321.8550724637681
1789888459,40,,Aggregated,0.000000,0.000000,21,31,40,45,100,140,190,230,230,230,230,192,0,21,38.590203124963786,3.8797999986854848,229.06159999911324,323.65625
1789888460,80,,Aggregated,52.000000,0.000000,34,100,160,210,310,440,620,670,690,690,690,315,0,34,111.60594888885772,2.7566000007936964,689.0265000001818,325.0857142857143
1789888461,100,,Aggregated,86.000000,0.000000,82,150,210,230,290,370,560,650,690,690,690,486,0,82,127.78867921811313,2.7566000007936964,689.0265000001818,328.3230452674897
1789888462,100,,Aggregated,93.333333,0.000000,140,210,240,260,300,370,490,620,690,690,690,661,0,140,154.65843419062446,2.7566000007936964,689.0265000001818,332.23903177004536
1789888463,100,,Aggregated,111.500000,0.000000,180,250,280,300,390,480,610,690,840,840,840,796,0,180,192.448909422114,2.7566000007936964,838.4769000003871,329.72738693467335
1789888464,100,,Aggregated,125.600000,0.000000,220,270,310,340,420,510,640,690,840,840,840,967,0,220,219.1211579110674,2.7566000007936964,838.4769000003871,329.12099276111684
1789888465,100,,Aggregated,126.833333,0.000000,240,270,290,320,410,490,610,680,820,840,840,1155,0,240,223.40528199134874,2.7566000007936964,838.4769000003871,329.43030303030304
1789888466,100,,Aggregated,132.142857,0.000000,240,280,300,320,390,480,590,680,820,840,840,1324,0,240,229.54781608762244,2.7566000007936964,838.4769000003871,327.6925981873112
1789888467,100,,Aggregated,139.125000,0.000000,210,260,290,300,370,440,550,650,820,840,840,1633,214,210,199.23272657686036,2.4645000012242235,838.4769000003871,300.3018983466013
1789888468,100,,Aggregated,142.555556,0.000000,170,250,280,290,360,430,530,650,820,840,840,1886,387,170,182.8392127783714,2.4645000012242235,838.4769000003871,287.4220572640509
1789888469,100,,Aggregated,156.200000,15.500000,160,240,270,280,350,420,520,620,810,840,840,2168,609,160,169.3329319188234,2.4645000012242235,838.4769000003871,270.7343173431734
1789888470,100,,Aggregated,178.300000,35.200000,120,220,250,270,330,400,510,600,810,840,840,2456,807,120,152.3696251628684,2.4645000012242235,838.4769000003871,262.6840390879479
1789888471,100,,Aggregated,191.600000,55.100000,120,200,250,270,320,390,500,560,810,840,840,2706,1000,120,149.40833259423138,2.4645000012242235,838.4769000003871,253.76570583887658
