Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789888966,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789888967,5,,Aggregated,0.000000,0.000000,12,18,19,22,28,33,33,33,33,33,33,17,0,12,14.464711764744338,3.8127999996504514,33.073099999455735,431.05882352941177
1789888968,10,,Aggregated,0.000000,0.000000,12,16,17,19,28,33,33,50,50,50,50,57,0,12,14.130782456018016,2.87439999920025,50.241900000401074,354.7543859649123
1789888969,20,,Aggregated,12.000000,0.000000,11,15,17,19,28,32,35,35,50,50,50,105,0,11,13.585594285628066,2.87439999920025,50.241900000401074,361.6095238095238
1789888970,25,,Aggregated,21.000000,0.000000,10,14,16,18,29,41,68,91,120,120,120,178,0,10,14.716055056125922,2.3542999988421798,116.11660000016855,381.0112359550562
1789888971,25,,Aggregated,30.000000,0.000000,10,14,17,22,33,48,58,78,120,120,120,260,0,10,15.321651922987748,2.3542999988421798,116.11660000016855,374.7230769230769
1789888972,25,,Aggregated,38.000000,0.000000,10,14,17,21,35,52,74,79,120,120,120,333,0,10,15.816567567504514,2.3542999988421798,116.11660000016855,381.1381381381381
1789888973,25,,Aggregated,45.400000,0.000000,9,13,15,17,31,48,68,78,120,120,120,419,0,9,14.208239856744298,2.3542999988421798,116.11660000016855,375.9474940334129
1789888974,25,,Aggregated,51.000000,0.000000,9,12,14,16,26,41,63,78,120,120,120,498,0,9,13.326984738889596,2.3542999988421798,116.11660000016855,377.6024096385542
1789888975,25,,Aggregated,55.428571,0.000000,9,12,15,17,26,39,60,75,120,120,120,575,0,9,13.345929739076857,2.3542999988421798,116.11660000016855,377.5773913043478
1789888976,25,,Aggregated,59.000000,0.000000,10,13,15,17,28,39,56,74,120,120,120,653,0,10,13.612462787099709,2.3542999988421798,116.11660000016855,374.104134762634
1789888977,25,,Aggregated,60.888889,0.000000,10,13,15,17,28,38,54,72,120,120,120,731,0,10,13.553127359767526,2.3542999988421798,116.11660000016855,376.7482900136799
1789888978,25,,Aggregated,62.100000,0.000000,10,13,15,17,28,39,56,68,120,120,120,812,0,10,13.52261194580055,2.3542999988421798,116.11660000016855,374.1564039408867
1789888979,25,,Aggregated,68.400000,0.000000,10,13,15,17,25,37,54,68,120,120,120,894,0,10,13.181078187894641,2.3542999988421798,116.11660000016855,377.03691275167785
1789888980,25,,Aggregated,73.700000,0.000000,10,12,15,16,24,36,52,63,120,120,120,981,0,10,12.936551987753232,2.3542999988421798,116.11660000016855,378.9296636085627
